DOMINIO,UBIGEO,CONGLOME,VIVIENDA,HOGAR,TuvoTrabajo,Educacion,Sexo,Edad,TrabajaPerú,FACTOR07,Situación de Vulnerabilidad
Costa Norte,060407,016039,073,11,1,Primaria Incompleta,Mujer,58,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060407,016039,074,11,1,Primaria Incompleta,Hombre,62,0,104.173187255859,Pobre Extremo
Costa Norte,060407,016039,074,11,1,Primaria Incompleta,Mujer,66,0,104.173187255859,Pobre Extremo
Costa Norte,060407,016039,075,11,1,Primaria Completa,Hombre,81,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060407,016039,207,11,1,Primaria Incompleta,Mujer,51,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060407,016039,208,11,1,Sin Nivel,Mujer,56,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060407,016039,209,11,1,Sin Nivel,Mujer,73,0,104.173187255859,Pobre No Extremo
Costa Norte,060407,016039,209,11,1,Primaria Completa,Mujer,39,0,104.173187255859,Pobre No Extremo
Costa Norte,060407,016039,210,11,1,Primaria Incompleta,Mujer,70,0,104.173187255859,Pobre Extremo
Costa Norte,060407,016039,213,11,1,Primaria Incompleta,Hombre,68,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060407,016039,213,11,1,Primaria Completa,Mujer,61,0,104.173187255859,Vulnerable No Pobre
Costa Norte,060418,016040,002,11,1,Sin Nivel,Hombre,66,0,90.5339584350586,Vulnerable No Pobre
Costa Norte,060418,016040,002,11,1,Sin Nivel,Mujer,62,0,90.5339584350586,Vulnerable No Pobre
Costa Norte,060418,016040,002,11,1,Superior No Universitaria Completa,Mujer,35,0,90.5339584350586,Vulnerable No Pobre
Costa Norte,060418,016040,002,11,1,Secundaria Completa,Hombre,31,0,90.5339584350586,Vulnerable No Pobre
Costa Norte,060418,016040,025,11,0,Primaria Completa,Hombre,73,0,90.5339584350586,Pobre No Extremo
Costa Norte,060418,016040,032,11,1,Secundaria Completa,Hombre,40,1,90.5339584350586,Vulnerable No Pobre
Costa Norte,060418,016040,032,11,1,Superior No Universitaria Completa,Mujer,34,1,90.5339584350586,Vulnerable No Pobre
Costa Norte,060418,016040,078,11,1,Primaria Completa,Hombre,87,0,90.5339584350586,Vulnerable No Pobre
Costa Norte,060418,016040,078,11,0,Sin Nivel,Mujer,76,0,90.5339584350586,Vulnerable No Pobre
Costa Norte,060418,016040,084,11,1,Primaria Completa,Hombre,71,0,90.5339584350586,Vulnerable No Pobre
Costa Norte,060418,016040,084,11,1,Secundaria Incompleta,Mujer,64,0,90.5339584350586,Vulnerable No Pobre
Costa Norte,060505,016041,014,11,1,Primaria Completa,Hombre,61,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016041,014,11,0,Secundaria Incompleta,Mujer,62,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016041,014,11,1,Secundaria Completa,Hombre,30,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016041,014,11,1,Secundaria Completa,Hombre,24,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016041,058,11,1,Secundaria Completa,Hombre,48,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016041,058,11,1,Secundaria Incompleta,Mujer,44,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016041,058,11,1,Superior No Universitaria Incompleta,Hombre,24,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016041,058,11,0,Superior No Universitaria Incompleta,Mujer,21,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016041,058,11,0,Superior No Universitaria Incompleta,Mujer,18,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016041,073,11,0,Primaria Completa,Hombre,84,0,93.906623840332,Vulnerable No Pobre
Costa Norte,060505,016041,079,11,1,Primaria Completa,Hombre,43,1,93.906623840332,Vulnerable No Pobre
Costa Norte,060505,016041,079,11,1,Primaria Completa,Mujer,36,1,93.906623840332,Vulnerable No Pobre
Costa Norte,060505,016043,097,11,1,Secundaria Completa,Hombre,31,1,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,097,11,1,Primaria Completa,Mujer,30,1,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,097,11,1,Secundaria Completa,Hombre,74,1,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,097,11,1,Primaria Incompleta,Mujer,68,1,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,097,11,0,Sin Nivel,Mujer,96,1,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,098,11,1,Secundaria Completa,Hombre,33,1,93.906623840332,Vulnerable No Pobre
Costa Norte,060505,016043,098,11,1,Primaria Completa,Mujer,36,1,93.906623840332,Vulnerable No Pobre
Costa Norte,060505,016043,099,11,1,Primaria Incompleta,Mujer,91,0,93.906623840332,Pobre No Extremo
Costa Norte,060505,016043,100,11,1,Secundaria Incompleta,Hombre,32,1,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,100,11,1,Secundaria Completa,Mujer,27,1,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,236,11,1,Sin Nivel,Mujer,46,1,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,239,11,1,Primaria Completa,Hombre,37,0,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,239,11,1,Secundaria Completa,Mujer,37,0,93.906623840332,Pobre Extremo
Costa Norte,060505,016043,240,11,1,Primaria Incompleta,Mujer,54,0,93.906623840332,Vulnerable No Pobre
Costa Norte,061110,016044,033,11,1,Primaria Completa,Hombre,75,0,104.173187255859,Pobre No Extremo
Costa Norte,061110,016044,033,11,1,Secundaria Completa,Mujer,71,0,104.173187255859,Pobre No Extremo
Costa Norte,061110,016044,034,11,1,Secundaria Completa,Mujer,44,0,104.173187255859,Vulnerable No Pobre
Costa Norte,061110,016044,035,11,1,Secundaria Completa,Hombre,57,0,104.173187255859,Vulnerable No Pobre
Costa Norte,061110,016044,035,11,0,Primaria Incompleta,Hombre,89,0,104.173187255859,Vulnerable No Pobre
Costa Norte,061110,016044,035,11,1,Secundaria Completa,Hombre,49,0,104.173187255859,Vulnerable No Pobre
Costa Norte,061110,016044,097,11,0,Primaria Completa,Hombre,84,0,104.173187255859,Vulnerable No Pobre
Costa Norte,061110,016044,097,11,1,Primaria Incompleta,Mujer,77,0,104.173187255859,Vulnerable No Pobre
Costa Norte,061110,016044,098,11,1,Primaria Completa,Mujer,61,0,104.173187255859,Pobre No Extremo
Costa Norte,061110,016044,099,11,1,Sin Nivel,Hombre,65,0,104.173187255859,Vulnerable No Pobre
Costa Norte,061110,016044,106,11,1,Secundaria Completa,Mujer,30,0,104.173187255859,Vulnerable No Pobre
Costa Norte,061305,016042,005,11,1,Sin Nivel,Hombre,64,0,132.078247070313,Vulnerable No Pobre
Costa Norte,061305,016042,005,11,1,Primaria Completa,Mujer,65,0,132.078247070313,Vulnerable No Pobre
Costa Norte,061305,016042,008,11,1,Secundaria Completa,Hombre,39,0,132.078247070313,Pobre No Extremo
Costa Norte,061305,016042,008,11,1,Secundaria Completa,Mujer,28,0,132.078247070313,Pobre No Extremo
Costa Norte,061305,016042,129,11,1,Primaria Completa,Hombre,62,0,132.078247070313,Vulnerable No Pobre
Costa Norte,061305,016042,129,11,1,Primaria Completa,Mujer,57,0,132.078247070313,Vulnerable No Pobre
Costa Norte,061305,016042,130,11,1,Primaria Incompleta,Hombre,82,0,132.078247070313,Vulnerable No Pobre
Costa Norte,061305,016042,130,11,1,Sin Nivel,Mujer,79,0,132.078247070313,Vulnerable No Pobre
Costa Norte,061305,016042,133,11,1,Primaria Incompleta,Mujer,39,0,132.078247070313,Vulnerable No Pobre
Costa Norte,061305,016042,133,11,1,Secundaria Completa,Hombre,19,0,132.078247070313,Vulnerable No Pobre
Costa Norte,061305,016042,134,11,1,Sin Nivel,Hombre,94,0,132.078247070313,Pobre Extremo
Costa Norte,061305,016042,134,11,1,Sin Nivel,Mujer,71,0,132.078247070313,Pobre Extremo
Costa Norte,130101,017348,001,22,1,Secundaria Incompleta,Mujer,42,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,001,22,1,Secundaria Completa,Hombre,51,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,001,22,1,Secundaria Incompleta,Hombre,18,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,064,11,1,Superior No Universitaria Completa,Hombre,49,0,309.615173339844,Pobre No Extremo
Costa Norte,130101,017348,064,11,1,Superior Universitaria Incompleta,Mujer,20,0,309.615173339844,Pobre No Extremo
Costa Norte,130101,017348,064,11,0,Superior Universitaria Incompleta,Hombre,18,0,309.615173339844,Pobre No Extremo
Costa Norte,130101,017348,064,11,1,Superior No Universitaria Completa,Mujer,46,0,309.615173339844,Pobre No Extremo
Costa Norte,130101,017348,064,11,1,Superior No Universitaria Completa,Mujer,28,0,309.615173339844,Pobre No Extremo
Costa Norte,130101,017348,107,11,1,Secundaria Completa,Hombre,65,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,107,11,1,Secundaria Completa,Mujer,42,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,107,11,1,Secundaria Completa,Hombre,19,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,0,Superior Universitaria Completa,Hombre,68,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,1,Secundaria Completa,Mujer,63,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,1,Secundaria Completa,Hombre,28,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,1,Superior No Universitaria Incompleta,Mujer,39,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,0,Secundaria Completa,Mujer,19,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017348,128,11,1,Secundaria Completa,Mujer,32,0,309.615173339844,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,Secundaria Incompleta,Hombre,81,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,Primaria Completa,Mujer,75,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,1,Superior Universitaria Incompleta,Hombre,56,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,1,Superior Universitaria Incompleta,Hombre,50,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,1,Primaria Completa,Mujer,33,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,1,Superior No Universitaria Completa,Mujer,22,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017357,053,11,0,Secundaria Completa,Mujer,18,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017357,079,12,0,Superior No Universitaria Incompleta,Mujer,53,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017357,079,12,0,Primaria Incompleta,Hombre,90,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017357,079,12,0,Primaria Completa,Mujer,86,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017359,056,11,1,Secundaria Completa,Hombre,46,0,715.713989257813,Pobre No Extremo
Costa Norte,130101,017359,056,11,1,Primaria Completa,Mujer,46,0,715.713989257813,Pobre No Extremo
Costa Norte,130101,017359,056,11,0,Superior Universitaria Incompleta,Hombre,23,0,715.713989257813,Pobre No Extremo
Costa Norte,130101,017359,107,11,1,Primaria Completa,Hombre,50,0,715.713989257813,Pobre No Extremo
Costa Norte,130101,017359,107,11,0,Secundaria Incompleta,Mujer,38,0,715.713989257813,Pobre No Extremo
Costa Norte,130101,017359,107,11,0,Secundaria Incompleta,Hombre,21,0,715.713989257813,Pobre No Extremo
Costa Norte,130101,017359,107,11,1,Secundaria Completa,Hombre,19,0,715.713989257813,Pobre No Extremo
Costa Norte,130101,017362,004,11,1,Superior No Universitaria Completa,Hombre,48,0,289.542297363281,Vulnerable No Pobre
Costa Norte,130101,017362,004,11,1,Superior Universitaria Completa,Mujer,55,0,289.542297363281,Vulnerable No Pobre
Costa Norte,130101,017362,004,11,1,Superior Universitaria Completa,Hombre,27,0,289.542297363281,Vulnerable No Pobre
Costa Norte,130101,017362,004,11,1,Maestría/Doctorado,Mujer,24,0,289.542297363281,Vulnerable No Pobre
Costa Norte,130101,017363,002,11,1,Secundaria Completa,Mujer,69,0,58.8208084106445,Pobre No Extremo
Costa Norte,130101,017363,002,11,1,Superior No Universitaria Incompleta,Mujer,37,0,58.8208084106445,Pobre No Extremo
Costa Norte,130101,017363,002,11,0,Secundaria Completa,Mujer,34,0,58.8208084106445,Pobre No Extremo
Costa Norte,130101,017365,079,11,1,Superior No Universitaria Incompleta,Hombre,65,0,570.074829101563,Vulnerable No Pobre
Costa Norte,130101,017365,079,11,0,Superior No Universitaria Completa,Mujer,62,0,570.074829101563,Vulnerable No Pobre
Costa Norte,130101,017365,079,11,1,Superior Universitaria Incompleta,Hombre,24,0,570.074829101563,Vulnerable No Pobre
Costa Norte,130101,017365,079,11,1,Superior Universitaria Completa,Mujer,39,0,570.074829101563,Vulnerable No Pobre
Costa Norte,130101,017372,123,11,1,Superior Universitaria Completa,Hombre,50,0,64.8034973144531,Vulnerable No Pobre
Costa Norte,130101,017372,123,11,0,Superior Universitaria Completa,Mujer,52,0,64.8034973144531,Vulnerable No Pobre
Costa Norte,130101,017372,123,11,0,Superior Universitaria Completa,Hombre,30,0,64.8034973144531,Vulnerable No Pobre
Costa Norte,130101,017372,123,11,1,Superior Universitaria Completa,Mujer,28,0,64.8034973144531,Vulnerable No Pobre
Costa Norte,130101,017374,006,11,1,Secundaria Incompleta,Hombre,75,0,289.542297363281,Vulnerable No Pobre
Costa Norte,130101,017374,006,11,0,Secundaria Incompleta,Mujer,74,0,289.542297363281,Vulnerable No Pobre
Costa Norte,130101,017374,006,11,1,Secundaria Completa,Mujer,44,0,289.542297363281,Vulnerable No Pobre
Costa Norte,130101,017374,085,11,0,Secundaria Incompleta,Mujer,74,0,289.542297363281,Pobre No Extremo
Costa Norte,130101,017374,085,11,1,Superior Universitaria Incompleta,Hombre,46,0,289.542297363281,Pobre No Extremo
Costa Norte,130101,017375,002,11,0,Primaria Incompleta,Mujer,86,0,536.785461425781,Vulnerable No Pobre
Costa Norte,130101,017375,002,11,0,Secundaria Completa,Mujer,57,0,536.785461425781,Vulnerable No Pobre
Costa Norte,130101,017375,002,11,0,Primaria Incompleta,Mujer,32,0,536.785461425781,Vulnerable No Pobre
Costa Norte,130101,017380,041,11,0,Superior No Universitaria Completa,Mujer,60,0,70.1957244873047,Vulnerable No Pobre
Costa Norte,130101,017380,041,11,1,Secundaria Completa,Mujer,58,0,70.1957244873047,Vulnerable No Pobre
Costa Norte,130101,017380,041,11,0,Secundaria Completa,Hombre,45,0,70.1957244873047,Vulnerable No Pobre
Costa Norte,130101,017383,168,11,1,Secundaria Completa,Hombre,37,0,557.468383789063,Vulnerable No Pobre
Costa Norte,130101,017383,168,11,1,Secundaria Completa,Mujer,39,0,557.468383789063,Vulnerable No Pobre
Costa Norte,130101,017392,310,11,1,Secundaria Completa,Hombre,57,0,70.1957244873047,Pobre No Extremo
Costa Norte,130101,017392,310,11,1,Superior No Universitaria Incompleta,Mujer,61,0,70.1957244873047,Pobre No Extremo
Costa Norte,130101,017392,310,11,0,Superior Universitaria Completa,Hombre,27,0,70.1957244873047,Pobre No Extremo
Costa Norte,130101,017392,310,11,0,Sin Nivel,Mujer,80,0,70.1957244873047,Pobre No Extremo
Costa Norte,130101,017399,057,11,1,Secundaria Completa,Mujer,64,0,294.005889892578,Pobre No Extremo
Costa Norte,130101,017399,057,11,0,Primaria Incompleta,Hombre,69,0,294.005889892578,Pobre No Extremo
Costa Norte,130101,017399,057,11,1,Primaria Completa,Hombre,58,0,294.005889892578,Pobre No Extremo
Costa Norte,130101,017417,082,11,0,Secundaria Incompleta,Hombre,67,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017417,082,11,1,Secundaria Incompleta,Mujer,65,0,324.376708984375,Vulnerable No Pobre
Costa Norte,130101,017428,128,11,1,Superior No Universitaria Completa,Hombre,38,0,557.468383789063,Vulnerable No Pobre
Costa Norte,130101,017428,128,11,1,Superior Universitaria Incompleta,Mujer,41,0,557.468383789063,Vulnerable No Pobre
Costa Norte,130101,017428,145,11,1,Superior No Universitaria Completa,Mujer,51,0,557.468383789063,Vulnerable No Pobre
Costa Norte,130101,017428,145,11,0,Superior Universitaria Incompleta,Hombre,21,0,557.468383789063,Vulnerable No Pobre
Costa Norte,130101,017428,145,11,0,Secundaria Completa,Hombre,19,0,557.468383789063,Vulnerable No Pobre
Costa Norte,130102,017332,021,11,1,Secundaria Completa,Hombre,23,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,021,11,0,Superior No Universitaria Completa,Mujer,24,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,059,11,1,Primaria Completa,Mujer,59,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,059,11,1,Superior No Universitaria Completa,Mujer,31,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,078,11,1,Primaria Completa,Hombre,57,0,471.747924804688,Pobre Extremo
Costa Norte,130102,017332,078,11,1,Secundaria Completa,Hombre,28,0,471.747924804688,Pobre Extremo
Costa Norte,130102,017332,078,11,0,Secundaria Incompleta,Mujer,28,0,471.747924804688,Pobre Extremo
Costa Norte,130102,017332,096,11,1,Primaria Incompleta,Mujer,41,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,096,11,1,Secundaria Completa,Hombre,49,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,096,11,0,Secundaria Completa,Mujer,20,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,117,11,0,Primaria Incompleta,Hombre,78,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,117,11,1,Sin Nivel,Mujer,70,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,117,11,1,Secundaria Completa,Mujer,45,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017332,117,11,1,Primaria Completa,Hombre,48,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017334,009,11,1,Primaria Incompleta,Hombre,41,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017334,009,11,0,Superior Universitaria Incompleta,Mujer,29,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017334,022,11,0,Primaria Completa,Mujer,36,0,471.747924804688,Pobre No Extremo
Costa Norte,130102,017334,105,11,1,Primaria Incompleta,Hombre,47,0,471.747924804688,Vulnerable No Pobre
Costa Norte,130102,017334,105,11,0,Primaria Incompleta,Mujer,48,0,471.747924804688,Vulnerable No Pobre
Costa Norte,130102,017334,105,11,1,Secundaria Incompleta,Hombre,18,0,471.747924804688,Vulnerable No Pobre
Costa Norte,130102,017334,105,11,1,Secundaria Incompleta,Mujer,24,0,471.747924804688,Vulnerable No Pobre
Costa Norte,130102,017339,002,11,1,Superior No Universitaria Incompleta,Mujer,33,0,57.8235206604004,Pobre No Extremo
Costa Norte,130102,017343,028,11,0,Primaria Incompleta,Hombre,51,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017343,028,11,0,Primaria Incompleta,Mujer,51,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017343,028,11,1,Secundaria Completa,Hombre,22,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017343,028,11,1,Secundaria Completa,Hombre,18,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017343,028,11,1,Secundaria Completa,Mujer,25,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017343,065,11,0,Superior No Universitaria Incompleta,Mujer,30,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017343,100,11,1,Primaria Incompleta,Mujer,48,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017343,100,11,0,Primaria Incompleta,Hombre,52,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017350,018,11,0,Sin Nivel,Mujer,52,0,481.272064208984,Pobre Extremo
Costa Norte,130102,017350,018,11,1,Secundaria Completa,Hombre,30,0,481.272064208984,Pobre Extremo
Costa Norte,130102,017350,037,11,1,Primaria Completa,Hombre,48,0,481.272064208984,Pobre No Extremo
Costa Norte,130102,017350,037,11,0,Primaria Incompleta,Mujer,29,0,481.272064208984,Pobre No Extremo
Costa Norte,130102,017350,074,11,1,Secundaria Completa,Hombre,34,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017350,074,11,1,Secundaria Completa,Mujer,62,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017350,093,11,1,Superior No Universitaria Completa,Hombre,43,0,481.272064208984,Vulnerable No Pobre
Costa Norte,130102,017352,006,11,1,Primaria Completa,Hombre,44,0,441.429260253906,Pobre No Extremo
Costa Norte,130102,017352,006,11,0,Sin Nivel,Mujer,36,0,441.429260253906,Pobre No Extremo
Costa Norte,130102,017352,006,11,0,Secundaria Completa,Mujer,20,0,441.429260253906,Pobre No Extremo
Costa Norte,130102,017352,029,11,1,Primaria Completa,Mujer,48,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,062,11,1,Primaria Completa,Mujer,47,0,441.429260253906,Pobre No Extremo
Costa Norte,130102,017352,062,11,1,Primaria Completa,Hombre,50,0,441.429260253906,Pobre No Extremo
Costa Norte,130102,017352,062,11,0,Secundaria Incompleta,Hombre,21,0,441.429260253906,Pobre No Extremo
Costa Norte,130102,017352,062,11,1,Primaria Completa,Hombre,24,0,441.429260253906,Pobre No Extremo
Costa Norte,130102,017352,062,11,0,Secundaria Incompleta,Mujer,27,0,441.429260253906,Pobre No Extremo
Costa Norte,130102,017352,080,11,0,Primaria Completa,Hombre,38,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,080,11,1,Secundaria Completa,Mujer,38,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,080,11,1,Secundaria Incompleta,Mujer,20,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,097,11,1,Primaria Completa,Hombre,51,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,097,11,1,Sin Nivel,Mujer,53,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,097,11,0,Secundaria Completa,Hombre,20,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,116,11,1,Primaria Incompleta,Mujer,60,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,116,11,1,Superior Universitaria Completa,Mujer,31,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,116,11,1,Superior Universitaria Incompleta,Mujer,27,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017352,116,11,0,Secundaria Completa,Mujer,24,0,441.429260253906,Vulnerable No Pobre
Costa Norte,130102,017360,018,11,1,Secundaria Completa,Hombre,49,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,018,11,0,Superior No Universitaria Incompleta,Mujer,44,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,018,11,1,Superior No Universitaria Completa,Mujer,23,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,075,23,1,Superior Universitaria Incompleta,Hombre,31,0,760.099792480469,Pobre No Extremo
Costa Norte,130102,017360,075,23,0,Secundaria Completa,Mujer,29,0,760.099792480469,Pobre No Extremo
Costa Norte,130102,017360,115,11,0,Primaria Incompleta,Mujer,76,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,0,Primaria Incompleta,Hombre,77,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,1,Secundaria Completa,Hombre,51,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,1,Secundaria Completa,Hombre,23,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,0,Secundaria Incompleta,Hombre,43,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,115,11,1,Secundaria Incompleta,Hombre,41,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,133,11,1,Superior No Universitaria Completa,Mujer,56,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,133,11,1,Secundaria Completa,Hombre,19,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017360,133,11,0,Primaria Completa,Hombre,84,0,760.099792480469,Vulnerable No Pobre
Costa Norte,130102,017361,003,11,1,Superior No Universitaria Incompleta,Hombre,55,0,441.429290771484,Vulnerable No Pobre
